"annee","count","base","mot","url","corpus","langue","bibli","date","search_mode","ratio"
1995,0,76705,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=1995","Rap","Français","Genius",1995,"N-gramme",0
1996,0,38309,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=1996","Rap","Français","Genius",1996,"N-gramme",0
1997,1,90065,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=1997","Rap","Français","Genius",1997,"N-gramme",1.11030922111808e-05
1998,1,171315,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=1998","Rap","Français","Genius",1998,"N-gramme",5.83720047865044e-06
1999,1,137568,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=1999","Rap","Français","Genius",1999,"N-gramme",7.26913235636194e-06
2000,0,126344,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2000","Rap","Français","Genius",2000,"N-gramme",0
2001,0,144074,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2001","Rap","Français","Genius",2001,"N-gramme",0
2002,3,159146,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2002","Rap","Français","Genius",2002,"N-gramme",1.8850615158408e-05
2003,16,152009,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2003","Rap","Français","Genius",2003,"N-gramme",0.000105256925576775
2004,10,204717,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2004","Rap","Français","Genius",2004,"N-gramme",4.88479217651685e-05
2005,16,264343,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2005","Rap","Français","Genius",2005,"N-gramme",6.05274208131102e-05
2006,15,321215,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2006","Rap","Français","Genius",2006,"N-gramme",4.66976946904721e-05
2007,23,352878,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2007","Rap","Français","Genius",2007,"N-gramme",6.5178333588379e-05
2008,43,314443,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2008","Rap","Français","Genius",2008,"N-gramme",0.000136749744786813
2009,13,257025,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2009","Rap","Français","Genius",2009,"N-gramme",5.05787374768991e-05
2010,42,298281,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2010","Rap","Français","Genius",2010,"N-gramme",0.000140806823096342
2011,16,390399,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2011","Rap","Français","Genius",2011,"N-gramme",4.09837115361464e-05
2012,40,510278,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2012","Rap","Français","Genius",2012,"N-gramme",7.83886430533944e-05
2013,26,502243,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2013","Rap","Français","Genius",2013,"N-gramme",5.17677697847456e-05
2014,26,621382,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2014","Rap","Français","Genius",2014,"N-gramme",4.18422162212616e-05
2015,33,855075,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2015","Rap","Français","Genius",2015,"N-gramme",3.85931058679063e-05
2016,35,878665,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2016","Rap","Français","Genius",2016,"N-gramme",3.98331559809484e-05
2017,12,958905,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2017","Rap","Français","Genius",2017,"N-gramme",1.25142740938883e-05
2018,24,1019269,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2018","Rap","Français","Genius",2018,"N-gramme",2.35462866034383e-05
2019,11,971861,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2019","Rap","Français","Genius",2019,"N-gramme",1.13184910187774e-05
2020,7,923211,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2020","Rap","Français","Genius",2020,"N-gramme",7.58223201413328e-06
2021,11,922600,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2021","Rap","Français","Genius",2021,"N-gramme",1.19228267938435e-05
2022,7,707958,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2022","Rap","Français","Genius",2022,"N-gramme",9.88759220179728e-06
2023,9,608246,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2023","Rap","Français","Genius",2023,"N-gramme",1.47966447785929e-05
1995,0,76705,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=1995","Rap","Français","Genius",1995,"N-gramme",0
1996,0,38309,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=1996","Rap","Français","Genius",1996,"N-gramme",0
1997,1,90065,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=1997","Rap","Français","Genius",1997,"N-gramme",1.11030922111808e-05
1998,0,171315,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=1998","Rap","Français","Genius",1998,"N-gramme",0
1999,4,137568,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=1999","Rap","Français","Genius",1999,"N-gramme",2.90765294254478e-05
2000,1,126344,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2000","Rap","Français","Genius",2000,"N-gramme",7.91489900588868e-06
2001,0,144074,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2001","Rap","Français","Genius",2001,"N-gramme",0
2002,2,159146,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2002","Rap","Français","Genius",2002,"N-gramme",1.2567076772272e-05
2003,0,152009,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2003","Rap","Français","Genius",2003,"N-gramme",0
2004,0,204717,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2004","Rap","Français","Genius",2004,"N-gramme",0
2005,1,264343,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2005","Rap","Français","Genius",2005,"N-gramme",3.78296380081939e-06
2006,3,321215,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2006","Rap","Français","Genius",2006,"N-gramme",9.33953893809442e-06
2007,3,352878,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2007","Rap","Français","Genius",2007,"N-gramme",8.50152177239726e-06
2008,3,314443,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2008","Rap","Français","Genius",2008,"N-gramme",9.54067986884745e-06
2009,6,257025,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2009","Rap","Français","Genius",2009,"N-gramme",2.33440326816458e-05
2010,7,298281,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2010","Rap","Français","Genius",2010,"N-gramme",2.34678038493903e-05
2011,15,390399,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2011","Rap","Français","Genius",2011,"N-gramme",3.84222295651372e-05
2012,49,510278,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2012","Rap","Français","Genius",2012,"N-gramme",9.60260877404082e-05
2013,34,502243,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2013","Rap","Français","Genius",2013,"N-gramme",6.76963143338981e-05
2014,101,621382,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2014","Rap","Français","Genius",2014,"N-gramme",0.000162540916859516
2015,283,855075,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2015","Rap","Français","Genius",2015,"N-gramme",0.000330965120018712
2016,219,878665,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2016","Rap","Français","Genius",2016,"N-gramme",0.000249241747423648
2017,325,958905,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2017","Rap","Français","Genius",2017,"N-gramme",0.000338928256709476
2018,379,1019269,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2018","Rap","Français","Genius",2018,"N-gramme",0.000371835109279297
2019,302,971861,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2019","Rap","Français","Genius",2019,"N-gramme",0.000310744026151888
2020,319,923211,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2020","Rap","Français","Genius",2020,"N-gramme",0.000345533144644074
2021,243,922600,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2021","Rap","Français","Genius",2021,"N-gramme",0.000263386082809452
2022,195,707958,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2022","Rap","Français","Genius",2022,"N-gramme",0.000275440068478639
2023,103,608246,"du sale","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20sale&year=2023","Rap","Français","Genius",2023,"N-gramme",0.000169339379132785
