"date","principales_villes","n"
"1796","Lille",2
"1796","Lyon",2
"1796","Montpellier",1
"1796","N/A",120
"1796","Paris",272
"1796","Rouen",1
"1796","Toulouse",1
"1797","Autre",120
"1797","Bordeaux",2
"1797","Bruxelles",3
"1797","Lyon",4
"1797","Montpellier",4
"1797","N/A",140
"1797","Paris",577
"1797","Rouen",3
"1797","Toulouse",6
"1798","Autre",86
"1798","Bordeaux",1
"1798","Bruxelles",2
"1798","Lille",1
"1798","Lyon",13
"1798","N/A",125
"1798","Paris",552
"1798","Rouen",5
"1798","Toulouse",8
"1798","Tours",1
"1799","Autre",83
"1799","Bordeaux",3
"1799","Lyon",1
"1799","Montpellier",1
"1799","N/A",134
"1799","Paris",535
"1799","Rouen",2
"1799","Toulouse",9
"1800","Autre",52
"1800","Bordeaux",1
"1800","Bruxelles",2
"1800","Lyon",3
"1800","N/A",94
"1800","Paris",353
"1800","Rouen",2
"1800","Toulouse",4
"1801","Autre",62
"1801","Bordeaux",4
"1801","Bruxelles",6
"1801","Lyon",3
"1801","N/A",81
"1801","Paris",445
"1801","Rouen",4
"1801","Toulouse",2
"1802","Autre",100
"1802","Bruxelles",2
"1802","Lille",2
"1802","Lyon",4
"1802","Montpellier",1
"1802","N/A",85
"1802","Paris",501
"1802","Rouen",3
"1802","Toulouse",1
"1802","Tours",3
"1803","Autre",70
"1803","Bordeaux",3
"1803","Bruxelles",5
"1803","Lille",1
"1803","Lyon",5
"1803","Montpellier",1
"1803","N/A",56
"1803","Paris",508
"1803","Rouen",2
"1803","Toulouse",4
"1803","Tours",1
"1804","Autre",62
"1804","Bordeaux",2
"1804","Bruxelles",1
"1804","Lyon",17
"1804","Montpellier",3
"1804","N/A",133
"1804","Paris",363
"1804","Toulouse",2
"1805","Autre",78
"1805","Bordeaux",1
"1805","Lille",3
"1805","Lyon",4
"1805","Montpellier",5
"1805","N/A",64
"1805","Paris",290
"1805","Rouen",2
"1805","Toulouse",5
"1805","Tours",1
"1806","Autre",72
"1806","Bordeaux",2
"1806","Bruxelles",2
"1806","Lyon",4
"1806","Montpellier",2
"1806","N/A",62
"1806","Paris",371
"1806","Rouen",1
"1806","Toulouse",3
"1807","Autre",95
"1807","Bordeaux",1
"1807","Lille",1
"1807","Lyon",2
"1807","Montpellier",3
"1807","N/A",46
"1807","Paris",299
"1808","Autre",48
"1808","Bordeaux",1
"1808","Lille",2
"1808","Lyon",3
"1808","Montpellier",2
"1808","N/A",67
"1808","Paris",294
"1808","Rouen",1
"1808","Toulouse",1
"1809","Autre",39
"1809","Bordeaux",1
"1809","Bruxelles",5
"1809","Lyon",6
"1809","Montpellier",1
"1809","N/A",35
"1809","Paris",224
"1809","Toulouse",1
"1809","Tours",1
"1810","Autre",76
"1810","Bordeaux",5
"1810","Lille",1
"1810","Lyon",10
"1810","Montpellier",2
"1810","N/A",89
"1810","Paris",323
"1810","Rouen",1
"1810","Toulouse",1
"1811","Autre",94
"1811","Bordeaux",8
"1811","Bruxelles",2
"1811","Lille",2
"1811","Lyon",13
"1811","Montpellier",2
"1811","N/A",42
"1811","Paris",428
"1811","Toulouse",4
"1812","Autre",67
"1812","Bordeaux",2
"1812","Bruxelles",5
"1812","Lille",1
"1812","Lyon",6
"1812","Montpellier",2
"1812","N/A",36
"1812","Paris",471
"1812","Rouen",3
"1812","Tours",1
"1813","Autre",54
"1813","Bordeaux",2
"1813","Bruxelles",1
"1813","Lille",5
"1813","Lyon",7
"1813","Montpellier",2
"1813","N/A",118
"1813","Paris",367
"1813","Rouen",5
"1813","Toulouse",2
"1814","Autre",75
"1814","Bordeaux",3
"1814","Bruxelles",2
"1814","Lille",3
"1814","Lyon",8
"1814","Montpellier",4
"1814","N/A",123
"1814","Paris",733
"1814","Rouen",9
"1814","Toulouse",7
"1814","Tours",1
"1815","Autre",162
"1815","Bordeaux",3
"1815","Bruxelles",9
"1815","Lille",3
"1815","Lyon",26
"1815","Montpellier",11
"1815","N/A",103
"1815","Paris",892
"1815","Rouen",8
"1815","Toulouse",11
"1816","Autre",229
"1816","Bordeaux",10
"1816","Bruxelles",3
"1816","Lille",4
"1816","Lyon",19
"1816","Montpellier",4
"1816","N/A",60
"1816","Paris",674
"1816","Rouen",5
"1816","Toulouse",3
"1816","Tours",2
"1817","Autre",133
"1817","Bordeaux",10
"1817","Bruxelles",6
"1817","Lille",4
"1817","Lyon",13
"1817","Montpellier",3
"1817","N/A",78
"1817","Paris",746
"1817","Rouen",8
"1817","Toulouse",9
"1817","Tours",3
"1818","Autre",138
"1818","Bordeaux",7
"1818","Bruxelles",4
"1818","Lille",3
"1818","Lyon",22
"1818","Montpellier",12
"1818","N/A",81
"1818","Paris",887
"1818","Rouen",1
"1818","Toulouse",19
"1818","Tours",1
"1819","Autre",106
"1819","Bordeaux",8
"1819","Bruxelles",7
"1819","Lille",2
"1819","Lyon",24
"1819","Montpellier",8
"1819","N/A",66
"1819","Paris",829
"1819","Rouen",3
"1819","Toulouse",11
"1820","Autre",127
"1820","Bordeaux",5
"1820","Bruxelles",2
"1820","Lille",5
"1820","Lyon",7
"1820","Montpellier",11
"1820","N/A",75
"1820","Paris",1021
"1820","Rouen",1
"1820","Toulouse",6
"1820","Tours",3
"1821","Autre",111
"1821","Bordeaux",10
"1821","Bruxelles",3
"1821","Lille",2
"1821","Lyon",9
"1821","Montpellier",7
"1821","N/A",144
"1821","Paris",1221
"1821","Rouen",2
"1821","Toulouse",12
"1822","Autre",114
"1822","Bordeaux",1
"1822","Bruxelles",7
"1822","Lille",7
"1822","Lyon",19
"1822","Montpellier",2
"1822","N/A",98
"1822","Paris",962
"1822","Rouen",3
"1822","Toulouse",7
"1823","Autre",113
"1823","Bordeaux",7
"1823","Bruxelles",2
"1823","Lille",3
"1823","Lyon",19
"1823","Montpellier",6
"1823","N/A",70
"1823","Paris",1024
"1823","Toulouse",4
"1824","Autre",140
"1824","Bordeaux",11
"1824","Lille",4
"1824","Lyon",19
"1824","Montpellier",4
"1824","N/A",84
"1824","Paris",1264
"1824","Rouen",8
"1824","Toulouse",9
"1824","Tours",1
"1825","Autre",108
"1825","Bordeaux",3
"1825","Bruxelles",5
"1825","Lille",1
"1825","Lyon",15
"1825","Montpellier",4
"1825","N/A",85
"1825","Paris",1266
"1825","Rouen",4
"1825","Toulouse",9
"1825","Tours",1
"1826","Autre",144
"1826","Bordeaux",9
"1826","Bruxelles",2
"1826","Lille",6
"1826","Lyon",13
"1826","Montpellier",4
"1826","N/A",88
"1826","Paris",1126
"1826","Rouen",8
"1826","Toulouse",11
"1827","Autre",153
"1827","Bordeaux",7
"1827","Bruxelles",5
"1827","Lille",7
"1827","Lyon",29
"1827","Montpellier",3
"1827","N/A",73
"1827","Paris",1034
"1827","Rouen",3
"1827","Toulouse",15
"1827","Tours",1
"1828","Autre",183
"1828","Bordeaux",12
"1828","Bruxelles",10
"1828","Lille",4
"1828","Lyon",25
"1828","Montpellier",5
"1828","N/A",95
"1828","Paris",1109
"1828","Rouen",5
"1828","Toulouse",8
"1828","Tours",5
"1829","Autre",158
"1829","Bordeaux",14
"1829","Bruxelles",9
"1829","Lille",10
"1829","Lyon",30
"1829","Montpellier",10
"1829","N/A",150
"1829","Paris",1197
"1829","Rouen",8
"1829","Toulouse",5
"1829","Tours",1
"1830","Autre",214
"1830","Bordeaux",4
"1830","Bruxelles",4
"1830","Lille",11
"1830","Lyon",49
"1830","Montpellier",8
"1830","N/A",66
"1830","Paris",1407
"1830","Rouen",7
"1830","Toulouse",8
"1830","Tours",5
"1831","Autre",187
"1831","Bordeaux",13
"1831","Lille",7
"1831","Lyon",56
"1831","Montpellier",4
"1831","N/A",53
"1831","Paris",1132
"1831","Rouen",4
"1831","Toulouse",11
"1831","Tours",1
"1832","Autre",221
"1832","Bordeaux",11
"1832","Bruxelles",19
"1832","Lille",7
"1832","Lyon",63
"1832","Montpellier",5
"1832","N/A",42
"1832","Paris",1018
"1832","Rouen",8
"1832","Toulouse",9
"1832","Tours",1
"1833","Autre",159
"1833","Bordeaux",8
"1833","Bruxelles",5
"1833","Lille",9
"1833","Lyon",44
"1833","Montpellier",7
"1833","N/A",31
"1833","Paris",1117
"1833","Rouen",3
"1833","Toulouse",7
"1833","Tours",2
"1834","Autre",181
"1834","Bordeaux",6
"1834","Bruxelles",3
"1834","Lille",4
"1834","Lyon",43
"1834","Montpellier",6
"1834","N/A",30
"1834","Paris",1189
"1834","Rouen",9
"1834","Toulouse",14
"1834","Tours",1
"1835","Autre",165
"1835","Bordeaux",8
"1835","Bruxelles",13
"1835","Lille",6
"1835","Lyon",31
"1835","Montpellier",4
"1835","N/A",36
"1835","Paris",998
"1835","Rouen",8
"1835","Toulouse",42
"1835","Tours",3
"1836","Autre",197
"1836","Bordeaux",10
"1836","Bruxelles",6
"1836","Lille",4
"1836","Lyon",38
"1836","Montpellier",8
"1836","N/A",33
"1836","Paris",1065
"1836","Rouen",15
"1836","Toulouse",8
"1836","Tours",1
"1837","Autre",212
"1837","Bordeaux",8
"1837","Bruxelles",26
"1837","Lille",3
"1837","Lyon",23
"1837","Montpellier",12
"1837","N/A",37
"1837","Paris",1032
"1837","Rouen",12
"1837","Toulouse",7
"1837","Tours",2
"1838","Autre",219
"1838","Bordeaux",16
"1838","Bruxelles",14
"1838","Lille",3
"1838","Lyon",46
"1838","Montpellier",6
"1838","N/A",42
"1838","Paris",1261
"1838","Rouen",6
"1838","Toulouse",14
"1838","Tours",3
"1839","Autre",305
"1839","Bordeaux",8
"1839","Bruxelles",8
"1839","Lille",6
"1839","Lyon",27
"1839","Montpellier",6
"1839","N/A",31
"1839","Paris",1227
"1839","Rouen",12
"1839","Toulouse",10
"1839","Tours",10
"1840","Autre",237
"1840","Bordeaux",13
"1840","Bruxelles",15
"1840","Lille",14
"1840","Lyon",34
"1840","Montpellier",7
"1840","N/A",57
"1840","Paris",1252
"1840","Rouen",22
"1840","Toulouse",25
"1840","Tours",9
"1841","Autre",372
"1841","Bordeaux",8
"1841","Bruxelles",18
"1841","Lille",16
"1841","Lyon",41
"1841","Montpellier",8
"1841","N/A",40
"1841","Paris",1210
"1841","Rouen",9
"1841","Toulouse",13
"1841","Tours",6
"1842","Autre",344
"1842","Bordeaux",26
"1842","Bruxelles",20
"1842","Lille",13
"1842","Lyon",36
"1842","Montpellier",5
"1842","N/A",111
"1842","Paris",1299
"1842","Rouen",10
"1842","Toulouse",7
"1842","Tours",8
"1843","Autre",352
"1843","Bordeaux",25
"1843","Bruxelles",14
"1843","Lille",10
"1843","Lyon",36
"1843","Montpellier",8
"1843","N/A",52
"1843","Paris",1145
"1843","Rouen",14
"1843","Toulouse",13
"1843","Tours",13
"1844","Autre",322
"1844","Bordeaux",32
"1844","Bruxelles",30
"1844","Lille",17
"1844","Lyon",42
"1844","Montpellier",4
"1844","N/A",47
"1844","Paris",1309
"1844","Rouen",10
"1844","Toulouse",9
"1844","Tours",9
"1845","Autre",332
"1845","Bordeaux",29
"1845","Bruxelles",12
"1845","Lille",9
"1845","Lyon",39
"1845","Montpellier",5
"1845","N/A",58
"1845","Paris",1362
"1845","Rouen",21
"1845","Toulouse",11
"1845","Tours",18
"1846","Autre",376
"1846","Bordeaux",37
"1846","Bruxelles",21
"1846","Lille",11
"1846","Lyon",50
"1846","Montpellier",5
"1846","N/A",55
"1846","Paris",1125
"1846","Rouen",9
"1846","Toulouse",19
"1846","Tours",14
"1847","Autre",382
"1847","Bordeaux",13
"1847","Bruxelles",15
"1847","Lille",13
"1847","Lyon",44
"1847","Montpellier",8
"1847","N/A",47
"1847","Paris",1282
"1847","Rouen",16
"1847","Toulouse",25
"1847","Tours",5
"1848","Autre",652
"1848","Bordeaux",33
"1848","Bruxelles",19
"1848","Lille",10
"1848","Lyon",71
"1848","Montpellier",6
"1848","N/A",103
"1848","Paris",1715
"1848","Rouen",14
"1848","Toulouse",17
"1848","Tours",8
"1849","Autre",475
"1849","Bordeaux",33
"1849","Bruxelles",30
"1849","Lille",10
"1849","Lyon",47
"1849","Montpellier",5
"1849","N/A",51
"1849","Paris",1164
"1849","Rouen",13
"1849","Toulouse",17
"1849","Tours",2
"1850","Autre",451
"1850","Bordeaux",42
"1850","Bruxelles",26
"1850","Lille",19
"1850","Lyon",37
"1850","Montpellier",13
"1850","N/A",71
"1850","Paris",1242
"1850","Rouen",9
"1850","Toulouse",18
"1850","Tours",14
"1851","Autre",457
"1851","Bordeaux",29
"1851","Bruxelles",17
"1851","Lille",20
"1851","Lyon",24
"1851","Montpellier",14
"1851","N/A",61
"1851","Paris",1204
"1851","Rouen",18
"1851","Toulouse",30
"1851","Tours",27
"1852","Autre",427
"1852","Bordeaux",45
"1852","Bruxelles",46
"1852","Lille",23
"1852","Lyon",34
"1852","Montpellier",17
"1852","N/A",57
"1852","Paris",1248
"1852","Rouen",18
"1852","Toulouse",23
"1852","Tours",18
"1853","Autre",496
"1853","Bordeaux",36
"1853","Bruxelles",46
"1853","Lille",32
"1853","Lyon",55
"1853","Montpellier",16
"1853","N/A",66
"1853","Paris",1645
"1853","Rouen",18
"1853","Toulouse",23
"1853","Tours",16
"1854","Autre",508
"1854","Bordeaux",30
"1854","Bruxelles",33
"1854","Lille",44
"1854","Lyon",60
"1854","Montpellier",9
"1854","N/A",94
"1854","Paris",1609
"1854","Rouen",25
"1854","Toulouse",45
"1854","Tours",8
"1855","Autre",498
"1855","Bordeaux",34
"1855","Bruxelles",40
"1855","Lille",29
"1855","Lyon",69
"1855","Montpellier",17
"1855","N/A",51
"1855","Paris",1388
"1855","Rouen",14
"1855","Toulouse",49
"1855","Tours",19
"1856","Autre",555
"1856","Bordeaux",35
"1856","Bruxelles",33
"1856","Lille",21
"1856","Lyon",61
"1856","Montpellier",13
"1856","N/A",85
"1856","Paris",1493
"1856","Rouen",26
"1856","Toulouse",25
"1856","Tours",20
"1857","Autre",546
"1857","Bordeaux",40
"1857","Bruxelles",45
"1857","Lille",17
"1857","Lyon",40
"1857","Montpellier",17
"1857","N/A",78
"1857","Paris",1457
"1857","Rouen",14
"1857","Toulouse",17
"1857","Tours",23
"1858","Autre",550
"1858","Bordeaux",40
"1858","Bruxelles",37
"1858","Lille",31
"1858","Lyon",34
"1858","Montpellier",19
"1858","N/A",79
"1858","Paris",1544
"1858","Rouen",10
"1858","Toulouse",47
"1858","Tours",14
"1859","Autre",569
"1859","Bordeaux",36
"1859","Bruxelles",32
"1859","Lille",45
"1859","Lyon",70
"1859","Montpellier",28
"1859","N/A",137
"1859","Paris",1497
"1859","Rouen",13
"1859","Toulouse",39
"1859","Tours",12
"1860","Autre",671
"1860","Bordeaux",35
"1860","Bruxelles",43
"1860","Lille",51
"1860","Lyon",68
"1860","Montpellier",20
"1860","N/A",119
"1860","Paris",1748
"1860","Rouen",26
"1860","Toulouse",23
"1860","Tours",18
"1861","Autre",622
"1861","Bordeaux",36
"1861","Bruxelles",18
"1861","Lille",33
"1861","Lyon",47
"1861","Montpellier",25
"1861","N/A",112
"1861","Paris",1859
"1861","Rouen",13
"1861","Toulouse",46
"1861","Tours",20
"1862","Autre",611
"1862","Bordeaux",31
"1862","Bruxelles",18
"1862","Lille",48
"1862","Lyon",38
"1862","Montpellier",19
"1862","N/A",107
"1862","Paris",1899
"1862","Rouen",10
"1862","Toulouse",32
"1862","Tours",10
"1863","Autre",720
"1863","Bordeaux",39
"1863","Bruxelles",35
"1863","Lille",46
"1863","Lyon",64
"1863","Montpellier",7
"1863","N/A",90
"1863","Paris",1728
"1863","Rouen",35
"1863","Toulouse",31
"1863","Tours",20
"1864","Autre",575
"1864","Bordeaux",48
"1864","Bruxelles",9
"1864","Lille",27
"1864","Lyon",64
"1864","Montpellier",11
"1864","N/A",74
"1864","Paris",1789
"1864","Rouen",15
"1864","Toulouse",47
"1864","Tours",16
"1865","Autre",796
"1865","Bordeaux",58
"1865","Bruxelles",20
"1865","Lille",48
"1865","Lyon",67
"1865","Montpellier",15
"1865","N/A",82
"1865","Paris",1835
"1865","Rouen",31
"1865","Toulouse",30
"1865","Tours",20
"1866","Autre",868
"1866","Bordeaux",59
"1866","Bruxelles",18
"1866","Lille",28
"1866","Lyon",56
"1866","Montpellier",29
"1866","N/A",136
"1866","Paris",1821
"1866","Rouen",30
"1866","Toulouse",40
"1866","Tours",25
"1867","Autre",784
"1867","Bordeaux",53
"1867","Bruxelles",12
"1867","Lille",44
"1867","Lyon",66
"1867","Montpellier",29
"1867","N/A",165
"1867","Paris",2042
"1867","Rouen",30
"1867","Toulouse",48
"1867","Tours",13
"1868","Autre",849
"1868","Bordeaux",88
"1868","Bruxelles",15
"1868","Lille",39
"1868","Lyon",60
"1868","Montpellier",25
"1868","N/A",160
"1868","Paris",1835
"1868","Rouen",23
"1868","Toulouse",48
"1868","Tours",21
"1869","Autre",753
"1869","Bordeaux",50
"1869","Bruxelles",53
"1869","Lille",35
"1869","Lyon",57
"1869","Montpellier",17
"1869","N/A",126
"1869","Paris",1964
"1869","Rouen",33
"1869","Toulouse",37
"1869","Tours",20
"1870","Autre",684
"1870","Bordeaux",49
"1870","Bruxelles",32
"1870","Lille",34
"1870","Lyon",64
"1870","Montpellier",9
"1870","N/A",137
"1870","Paris",1543
"1870","Rouen",18
"1870","Toulouse",43
"1870","Tours",29
"1871","Autre",863
"1871","Bordeaux",71
"1871","Bruxelles",78
"1871","Lille",32
"1871","Lyon",126
"1871","Montpellier",25
"1871","N/A",80
"1871","Paris",1432
"1871","Rouen",22
"1871","Toulouse",51
"1871","Tours",22
"1872","Autre",745
"1872","Bordeaux",39
"1872","Bruxelles",24
"1872","Lille",23
"1872","Lyon",66
"1872","Montpellier",16
"1872","N/A",140
"1872","Paris",2045
"1872","Rouen",26
"1872","Toulouse",21
"1872","Tours",13
"1873","Autre",631
"1873","Bordeaux",31
"1873","Bruxelles",19
"1873","Lille",36
"1873","Lyon",63
"1873","Montpellier",21
"1873","N/A",166
"1873","Paris",1788
"1873","Rouen",19
"1873","Toulouse",25
"1873","Tours",22
"1874","Autre",670
"1874","Bordeaux",49
"1874","Bruxelles",16
"1874","Lille",31
"1874","Lyon",68
"1874","Montpellier",36
"1874","N/A",166
"1874","Paris",1860
"1874","Rouen",24
"1874","Toulouse",31
"1874","Tours",22
"1875","Autre",815
"1875","Bordeaux",47
"1875","Bruxelles",12
"1875","Lille",27
"1875","Lyon",75
"1875","Montpellier",30
"1875","N/A",181
"1875","Paris",1994
"1875","Rouen",25
"1875","Toulouse",25
"1875","Tours",27
"1876","Autre",752
"1876","Bordeaux",31
"1876","Bruxelles",13
"1876","Lille",35
"1876","Lyon",69
"1876","Montpellier",16
"1876","N/A",115
"1876","Paris",2029
"1876","Rouen",30
"1876","Toulouse",25
"1876","Tours",43
"1877","Autre",701
"1877","Bordeaux",40
"1877","Bruxelles",13
"1877","Lille",34
"1877","Lyon",49
"1877","Montpellier",27
"1877","N/A",147
"1877","Paris",2115
"1877","Rouen",15
"1877","Toulouse",29
"1877","Tours",80
"1878","Autre",725
"1878","Bordeaux",28
"1878","Bruxelles",19
"1878","Lille",36
"1878","Lyon",56
"1878","Montpellier",18
"1878","N/A",42
"1878","Paris",1945
"1878","Rouen",26
"1878","Toulouse",30
"1878","Tours",53
"1879","Autre",744
"1879","Bordeaux",51
"1879","Bruxelles",19
"1879","Lille",37
"1879","Lyon",89
"1879","Montpellier",13
"1879","N/A",75
"1879","Paris",2020
"1879","Rouen",15
"1879","Toulouse",32
"1879","Tours",27
"1880","Autre",735
"1880","Bordeaux",20
"1880","Bruxelles",36
"1880","Lille",32
"1880","Lyon",102
"1880","Montpellier",9
"1880","N/A",129
"1880","Paris",2037
"1880","Rouen",24
"1880","Toulouse",35
"1880","Tours",28
"1881","Autre",601
"1881","Bordeaux",25
"1881","Bruxelles",11
"1881","Lille",23
"1881","Lyon",97
"1881","Montpellier",11
"1881","N/A",190
"1881","Paris",1994
"1881","Rouen",29
"1881","Toulouse",14
"1881","Tours",21
"1882","Autre",533
"1882","Bordeaux",22
"1882","Bruxelles",20
"1882","Lille",31
"1882","Lyon",106
"1882","Montpellier",27
"1882","N/A",167
"1882","Paris",1792
"1882","Rouen",23
"1882","Toulouse",11
"1882","Tours",28
"1883","Autre",595
"1883","Bordeaux",14
"1883","Bruxelles",26
"1883","Lille",25
"1883","Lyon",93
"1883","Montpellier",19
"1883","N/A",197
"1883","Paris",1926
"1883","Rouen",28
"1883","Toulouse",8
"1883","Tours",23
"1884","Autre",606
"1884","Bordeaux",30
"1884","Bruxelles",19
"1884","Lille",40
"1884","Lyon",122
"1884","Montpellier",32
"1884","N/A",198
"1884","Paris",1842
"1884","Rouen",17
"1884","Toulouse",16
"1884","Tours",36
"1885","Autre",642
"1885","Bordeaux",17
"1885","Bruxelles",17
"1885","Lille",39
"1885","Lyon",115
"1885","Montpellier",22
"1885","N/A",184
"1885","Paris",1769
"1885","Rouen",20
"1885","Toulouse",17
"1885","Tours",35
"1886","Autre",630
"1886","Bordeaux",23
"1886","Bruxelles",21
"1886","Lille",31
"1886","Lyon",93
"1886","Montpellier",21
"1886","N/A",209
"1886","Paris",1817
"1886","Rouen",19
"1886","Toulouse",21
"1886","Tours",39
"1887","Autre",566
"1887","Bordeaux",26
"1887","Bruxelles",25
"1887","Lille",40
"1887","Lyon",101
"1887","Montpellier",30
"1887","N/A",214
"1887","Paris",1679
"1887","Rouen",18
"1887","Toulouse",9
"1887","Tours",27
"1888","Autre",620
"1888","Bordeaux",24
"1888","Bruxelles",60
"1888","Lille",37
"1888","Lyon",100
"1888","Montpellier",24
"1888","N/A",172
"1888","Paris",1854
"1888","Rouen",47
"1888","Toulouse",8
"1888","Tours",34
"1889","Autre",615
"1889","Bordeaux",40
"1889","Bruxelles",18
"1889","Lille",62
"1889","Lyon",71
"1889","Montpellier",18
"1889","N/A",220
"1889","Paris",2030
"1889","Rouen",31
"1889","Toulouse",15
"1889","Tours",22
"1890","Autre",584
"1890","Bordeaux",22
"1890","Bruxelles",8
"1890","Lille",48
"1890","Lyon",135
"1890","Montpellier",24
"1890","N/A",251
"1890","Paris",1740
"1890","Rouen",23
"1890","Toulouse",14
"1890","Tours",26
"1891","Autre",626
"1891","Bordeaux",19
"1891","Bruxelles",15
"1891","Lille",46
"1891","Lyon",88
"1891","Montpellier",29
"1891","N/A",221
"1891","Paris",1580
"1891","Rouen",25
"1891","Toulouse",14
"1891","Tours",18
"1892","Autre",572
"1892","Bordeaux",25
"1892","Bruxelles",6
"1892","Lille",32
"1892","Lyon",74
"1892","Montpellier",27
"1892","N/A",278
"1892","Paris",1617
"1892","Rouen",20
"1892","Toulouse",12
"1892","Tours",24
"1893","Autre",516
"1893","Bordeaux",26
"1893","Bruxelles",10
"1893","Lille",27
"1893","Lyon",54
"1893","Montpellier",21
"1893","N/A",241
"1893","Paris",1579
"1893","Rouen",13
"1893","Toulouse",11
"1893","Tours",31
"1894","Autre",546
"1894","Bordeaux",31
"1894","Bruxelles",25
"1894","Lille",31
"1894","Lyon",113
"1894","Montpellier",28
"1894","N/A",346
"1894","Paris",1643
"1894","Rouen",16
"1894","Toulouse",14
"1894","Tours",30
"1895","Autre",480
"1895","Bordeaux",29
"1895","Bruxelles",17
"1895","Lille",25
"1895","Lyon",66
"1895","Montpellier",38
"1895","N/A",240
"1895","Paris",1607
"1895","Rouen",12
"1895","Toulouse",16
"1895","Tours",20
"1896","Autre",577
"1896","Bordeaux",35
"1896","Bruxelles",12
"1896","Lille",39
"1896","Lyon",48
"1896","Montpellier",44
"1896","N/A",226
"1896","Paris",1561
"1896","Rouen",13
